Provider,Plan Name,Price per annum,Price per month,Capacity,File types supported,Special features,Platform compatibility,URL,Contact Email,Contact Number
google,,,,15 GB,All,"- 15 GB storage
",All,https://one.google.com/about/plans?g1_landing_page=0,,
google,Basic,27.99,2.79,100 GB,All,"- 100 GB of storage for Photos, Drive & Gmail
- Share storage with up to 5 others
",All,https://one.google.com/about/plans?g1_landing_page=0,,
google,Premium,139.99,13.99,2 TB,All,"- 2 TB of storage for Photos, Drive & Gmail
- Share storage with up to 5 others
- Unlimited Magic Editor saves in Google Photos
- 10% back in the Google Store
- Google Workspace premium features
",All,https://one.google.com/about/plans?g1_landing_page=0,,
google,AI Premium,N/A,27.99,2 TB,All,"- 2 TB of storage for Photos, Drive & Gmail
- Share storage with up to 5 others
- Gemini Advanced
- Gemini in Gmail, Docs, and more
- All other benefits in the Premium plan
",All,https://one.google.com/about/plans?g1_landing_page=0,,
