Provider,Plan Name,Price per annum,Price per month,Capacity,File types supported,Special features,Platform compatibility,URL,Contact Email,Contact Number
Azure,Microsoft 365 Family,145.00,14.50 ,6 TB,,"- Ad-free Outlook web, desktop, and mobile email and calendar with advanced security","- Windows
-  macOS
-  iOS
-  Android�",https://www.microsoft.com/en-ca/microsoft-365/onedrive/compare-onedrive-plans,,
Azure,Microsoft 365 Personal, 115.00, 11.50,1 TB,,"- Ad-free Outlook web, desktop, and mobile email and calendar with advanced security","- Windows
-  macOS
-  iOS
-  Android�",https://www.microsoft.com/en-ca/microsoft-365/onedrive/compare-onedrive-plans,,
Azure,Microsoft 365 Basic, 19.00, 2.00,100 GB,,"- Ad-free Outlook and mobile email and calendar with advanced security features","- Windows
-  macOS
-  iOS
-  Android�",https://www.microsoft.com/en-ca/microsoft-365/onedrive/compare-onedrive-plans,,
Azure,Microsoft 365,Free,Free,5 GB,,"- Outlook.com email and calendar","- Windows
-  macOS
-  iOS
-  Android�",https://www.microsoft.com/en-ca/microsoft-365/onedrive/compare-onedrive-plans,,
