Provider,Plan Name,Price per annum,Price per month,Capacity,File types supported,Special features,Platform compatibility,URL,Contact Email,Contact Number
Dropbox,Plus,154.99 ,15.99 ,2 TB,,null,,https://www.dropbox.com/plans?billing=monthly,,
Dropbox,Professional,199.00 ,16.58 ,3 TB,,"- Transfer files up to 100 GB
- 180 days to restore deleted files",,https://www.dropbox.com/plans?billing=monthly,,
Dropbox,Advanced,288.00 ,24/user/month,15 TB,,"- Transfer files up to 100 GB
- 180 days to restore deleted files",,https://www.dropbox.com/plans?billing=monthly,,
Dropbox,Enterprise,Custom Pricing,Custom Pricing,15 TB+/Unlimited,,"- Transfer files up to 250 GB
- 1 year to restore deleted files",,https://www.dropbox.com/plans?billing=monthly,,
