Provider,Plan Name,Price per annum,Price per month,Capacity,File types supported,Special features,Platform compatibility,URL,Contact Email,Contact Number
ICloud,iCloud+,15.48(1.29 per month),1.29,50GB,,"Storage for thousands of photos, videos and files.",,https://icq.icloud.com/?context=ZXh0ZXJuYWxBcHBfY29tLmFwcGxlLm1vYmlsZXNhZmFyaV9hcHBsZS5jb20=,,
ICloud,iCloud+,47.88(3.99 per month),3.99,200GB,,"Great for family sharing or larger media libraries.",,https://icq.icloud.com/?context=ZXh0ZXJuYWxBcHBfY29tLmFwcGxlLm1vYmlsZXNhZmFyaV9hcHBsZS5jb20=,,
ICloud,iCloud+,155.88(12.99 per month),12.99,2TB,,"Plenty of space for all the family�s photos, videos and files.",,https://icq.icloud.com/?context=ZXh0ZXJuYWxBcHBfY29tLmFwcGxlLm1vYmlsZXNhZmFyaV9hcHBsZS5jb20=,,
ICloud,iCloud+,479.88(39.99 per month),39.99,6TB,,"Ideal for photograpghers and content creaters.",,https://icq.icloud.com/?context=ZXh0ZXJuYWxBcHBfY29tLmFwcGxlLm1vYmlsZXNhZmFyaV9hcHBsZS5jb20=,,
ICloud,iCloud+,959.88(79.99 per month),79.99,12TB,,"Largest plan for advanced users.",,https://icq.icloud.com/?context=ZXh0ZXJuYWxBcHBfY29tLmFwcGxlLm1vYmlsZXNhZmFyaV9hcHBsZS5jb20=,,
